Structure,Cohen_d,n_patients,n_controls,population_size,hemisphere,NAVR,NAVR_II,NAVR_corrected,NAVR_corrected_II,correction,population_size_livingpark,Cohen_d_thresholded
L_transversetemporal,-0.24,1571,1651,2582,lh,0.1956680130206627,1.018963184476973,0.0077014360143998475,0.0843299931742164,0.0827605888602368,584,-0.24
L_insula,-0.09,1571,1651,2582,lh,0.2981904866965747,1.0435121304308543,0.011736690723965737,0.0863616783972577,0.0827605888602368,584,-0.09
R_bankssts,-0.07,1571,1651,2582,rh,0.1534593994993605,1.0117063740506451,0.006040117277256471,0.0837294152700864,0.0827605888602368,584,-0.07
R_caudalanteriorcingulate,0.03,1571,1651,2582,rh,0.2345456463717201,1.0271376053051158,0.00923164834201646,0.0850065130555448,0.0827605888602368,584,0.03
R_caudalmiddlefrontal,0.06,1571,1651,2582,rh,0.1700381669057965,1.014353477937885,0.0066926527346733225,0.0839484911465685,0.0827605888602368,584,0.06
R_cuneus,-0.06,1571,1651,2582,rh,0.2110250670946185,1.0220232771039457,0.008305885190810504,0.0845832482419915,0.0827605888602368,584,-0.06
R_entorhinal,-0.24,1571,1651,2582,rh,0.3352087278490374,1.054687105840481,0.013193717916096566,0.0872865259426571,0.0827605888602368,584,-0.24
R_fusiform,-0.19,1571,1651,2582,rh,0.2034578796835348,1.0204876818488893,0.008008042897858518,0.084456161474432,0.0827605888602368,584,-0.19
R_inferiorparietal,-0.05,1571,1651,2582,rh,0.1402146441904612,1.0097822272378625,0.005518807565141701,0.0835701717468069,0.0827605888602368,584,-0.05
R_inferiortemporal,-0.16,1571,1651,2582,rh,0.1804525516817452,1.0161511321690553,0.007102559886808807,0.0840972660693073,0.0827605888602368,584,-0.16
R_isthmuscingulate,0.05,1571,1651,2582,rh,0.2184653938129115,1.0235854279413277,0.0085987342838358,0.0847125327651817,0.0827605888602368,584,0.05
R_lateraloccipital,-0.02,1571,1651,2582,rh,0.1526839267879651,1.0115890378505457,0.00600959489715189,0.0837197044570715,0.0827605888602368,584,-0.02
R_lateralorbitofrontal,0.0,1571,1651,2582,rh,0.2955741158849632,1.04276749948451,0.011633711130702112,0.0863000523016547,0.0827605888602368,584,
R_lingual,-0.02,1571,1651,2582,rh,0.2610434941592119,1.033510380133093,0.01027459591481736,0.0855339276529819,0.0827605888602368,584,-0.02
R_medialorbitofrontal,0.08,1571,1651,2582,rh,0.2374629973130645,1.0278077033632822,0.009346474425541623,0.0850619707654328,0.0827605888602368,584,0.08
R_middletemporal,-0.12,1571,1651,2582,rh,0.1421137530783172,1.010047681455685,0.005593555937951398,0.0835921408941893,0.0827605888602368,584,-0.12
R_parahippocampal,-0.11,1571,1651,2582,rh,0.1475454646038709,1.0108262284513456,0.005807346521894787,0.0836565739020056,0.0827605888602368,584,-0.11
R_paracentral,-0.05,1571,1651,2582,rh,0.1965077196420784,1.0191247636471843,0.0077344866224980545,0.0843433655614906,0.0827605888602368,584,-0.05
R_parsopercularis,-0.03,1571,1651,2582,rh,0.1842800518819023,1.0168378127910058,0.007253209180127382,0.0841540961619388,0.0827605888602368,584,-0.03
R_parsorbitalis,0.04,1571,1651,2582,rh,0.2583572701375833,1.032835165470727,0.010168866919548563,0.0854780464899174,0.0827605888602368,584,0.04
R_parstriangularis,0.05,1571,1651,2582,rh,0.2348309682032626,1.0272027957649268,0.009242878526220886,0.0850119082563869,0.0827605888602368,584,0.05
R_pericalcarine,-0.01,1571,1651,2582,rh,0.2823649468492684,1.0391005549075556,0.011113802083938027,0.0859965738091481,0.0827605888602368,584,
R_postcentral,-0.07,1571,1651,2582,rh,0.1919447953904879,1.0182547836752334,0.007554891252668922,0.0842713655067153,0.0827605888602368,584,-0.07
R_posteriorcingulate,0.05,1571,1651,2582,rh,0.229542991757253,1.0260068153111217,0.009034745313153016,0.0849129282097646,0.0827605888602368,584,0.05
R_precentral,0.09,1571,1651,2582,rh,0.203213697138652,1.0204390264512426,0.00799843194399735,0.0844521347250715,0.0827605888602368,584,0.09
R_precuneus,-0.08,1571,1651,2582,rh,0.1368537324431657,1.0093210312302154,0.005386523057458232,0.083532002893634,0.0827605888602368,584,-0.08
R_rostralanteriorcingulate,0.01,1571,1651,2582,rh,0.2607243987946873,1.033429829319268,0.010262036414189536,0.0855272612201966,0.0827605888602368,584,
R_rostralmiddlefrontal,0.11,1571,1651,2582,rh,0.192271968463831,1.0183165077012926,0.007567768689563629,0.0842764738234588,0.0827605888602368,584,0.11
R_superiorfrontal,0.11,1571,1651,2582,rh,0.1426994383762407,1.0101302538350658,0.005616608340727401,0.0835989746329305,0.0827605888602368,584,0.11
R_superiorparietal,-0.09,1571,1651,2582,rh,0.1081804550791144,1.0058344848239815,0.0042579512100042426,0.0832434542599656,0.0827605888602368,584,-0.09
R_superiortemporal,-0.15,1571,1651,2582,rh,0.1130545562343416,1.006370375500662,0.004449794412146489,0.0832878048879324,0.0827605888602368,584,-0.15
R_supramarginal,-0.09,1571,1651,2582,rh,0.1349963545396925,1.0090708675504445,0.005313417204041872,0.0835112992001847,0.0827605888602368,584,-0.09
R_frontalpole,0.04,1571,1651,2582,rh,0.3308039802832321,1.0532954349902164,0.013020348334559237,0.0871713504435895,0.0827605888602368,584,0.04
R_temporalpole,-0.14,1571,1651,2582,rh,0.3205953854095554,1.0501339919962125,0.012618541013051612,0.0869097075597577,0.0827605888602368,584,-0.14
R_transversetemporal,-0.24,1571,1651,2582,rh,0.1930159768564547,1.018457248647115,0.007597052643243697,0.0842881216270118,0.0827605888602368,584,-0.24
R_insula,-0.09,1571,1651,2582,rh,0.3167477759911346,1.0489657542528878,0.012467100226757939,0.0868130235161914,0.0827605888602368,584,-0.09
