CorticalThickness,Structure,d_icv,se_icv,low_ci_icv,up_ci_icv,n_controls,n_patients,pobs,fdr_p,population_size,hemisphere,NAVR,NAVR_II,NAVR_corrected,NAVR_corrected_II,correction,population_size_livingpark,d_icv_thresholded
BD_CasesvsCN_adult,R_lateralorbitofrontal,-0.207,0.031,,,2573,1833,1.85e-11,2.26e-09,4406,rh,0.2955741158849632,1.04276749948451,0.008895735522720825,0.0863000523016547,0.0827605888602368,584,-0.207
BD_CasesvsCN_adult,R_lingual,-0.197,0.031,,,2574,1835,1.4e-10,1.47e-08,4409,rh,0.2610434941592119,1.033510380133093,0.007855596537487918,0.0855339276529819,0.0827605888602368,584,-0.197
BD_CasesvsCN_adult,R_medialorbitofrontal,-0.23,0.031,,,2567,1823,9.15e-14,1.65e-11,4390,rh,0.2374629973130645,1.0278077033632822,0.007145987320933906,0.0850619707654328,0.0827605888602368,584,-0.23
BD_CasesvsCN_adult,R_middletemporal,-0.219,0.031,,,2572,1833,1.15e-12,1.97e-10,4405,rh,0.1421137530783172,1.010047681455685,0.004292702900034044,0.0835921408941893,0.0827605888602368,584,-0.219
BD_CasesvsCN_adult,R_parahippocampal,-0.086,0.031,,,2573,1824,0.00536,0.091,4397,rh,0.1475454646038709,1.0108262284513456,0.004446137644602712,0.0836565739020056,0.0827605888602368,584,-0.086
BD_CasesvsCN_adult,R_paracentral,-0.14,0.031,,,2574,1834,5.24e-06,0.000291,4408,rh,0.1965077196420784,1.0191247636471843,0.005915527085290867,0.0843433655614906,0.0827605888602368,584,-0.14
BD_CasesvsCN_adult,R_parsopercularis,-0.248,0.031,,,2574,1834,7.95e-16,1.88e-13,4408,rh,0.1842800518819023,1.0168378127910058,0.005553098348507088,0.0841540961619388,0.0827605888602368,584,-0.248
BD_CasesvsCN_adult,R_parsorbitalis,-0.241,0.031,,,2572,1835,4.85e-15,1.02e-12,4407,rh,0.2583572701375833,1.032835165470727,0.007787110545636338,0.0854780464899174,0.0827605888602368,584,-0.241
BD_CasesvsCN_adult,R_parstriangularis,-0.231,0.031,,,2574,1835,6.79e-14,1.28e-11,4409,rh,0.2348309682032626,1.0272027957649268,0.007081224827511781,0.0850119082563869,0.0827605888602368,584,-0.231
BD_CasesvsCN_adult,R_pericalcarine,0.015,0.031,,,2574,1832,0.626,0.896,4406,rh,0.2823649468492684,1.0391005549075556,0.008510722590299273,0.0859965738091481,0.0827605888602368,584,0.015
BD_CasesvsCN_adult,R_postcentral,-0.075,0.031,,,2570,1828,0.014,0.178,4398,rh,0.1919447953904879,1.0182547836752334,0.005781443514853561,0.0842713655067153,0.0827605888602368,584,-0.075
BD_CasesvsCN_adult,R_posteriorcingulate,-0.166,0.031,,,2574,1834,6.2e-08,4.6e-06,4408,rh,0.229542991757253,1.0260068153111217,0.006917052580685541,0.0849129282097646,0.0827605888602368,584,-0.166
BD_CasesvsCN_adult,R_precentral,-0.179,0.031,,,2569,1830,6.14e-09,5.4e-07,4399,rh,0.203213697138652,1.0204390264512426,0.006121560977928512,0.0844521347250715,0.0827605888602368,584,-0.179
BD_CasesvsCN_adult,R_precuneus,-0.188,0.031,,,2574,1835,1.03e-09,1e-07,4409,rh,0.1368537324431657,1.0093210312302154,0.004123016918772063,0.083532002893634,0.0827605888602368,584,-0.188
BD_CasesvsCN_adult,R_rostralanteriorcingulate,-0.087,0.031,,,2570,1833,0.00484,0.086,4403,rh,0.2607243987946873,1.033429829319268,0.007855782014210295,0.0855272612201966,0.0827605888602368,584,-0.087
BD_CasesvsCN_adult,R_rostralmiddlefrontal,-0.264,0.031,,,2572,1832,1.21e-17,4.57e-15,4404,rh,0.192271968463831,1.0183165077012926,0.005791954951218781,0.0842764738234588,0.0827605888602368,584,-0.264
BD_CasesvsCN_adult,R_superiorfrontal,-0.256,0.031,,,2574,1833,9.09e-17,2.86e-14,4407,rh,0.1426994383762407,1.0101302538350658,0.004298156357379652,0.0835989746329305,0.0827605888602368,584,-0.256
BD_CasesvsCN_adult,R_superiorparietal,-0.158,0.031,,,2574,1834,2.53e-07,1.7e-05,4408,rh,0.1081804550791144,1.0058344848239815,0.003260281837157166,0.0832434542599656,0.0827605888602368,584,-0.158
BD_CasesvsCN_adult,R_superiortemporal,-0.194,0.031,,,2564,1823,2.87e-10,2.93e-08,4387,rh,0.1130545562343416,1.006370375500662,0.003405628506177775,0.0832878048879324,0.0827605888602368,584,-0.194
BD_CasesvsCN_adult,R_supramarginal,-0.184,0.031,,,2565,1828,2.12e-09,2e-07,4393,rh,0.1349963545396925,1.0090708675504445,0.004073534838625916,0.0835112992001847,0.0827605888602368,584,-0.184
BD_CasesvsCN_adult,R_frontalpole,-0.102,0.031,,,2570,1832,0.000941,0.024,4402,rh,0.3308039802832321,1.0532954349902164,0.009957157302000775,0.0871713504435895,0.0827605888602368,584,-0.102
BD_CasesvsCN_adult,R_temporalpole,-0.059,0.031,,,2563,1810,0.057,0.391,4373,rh,0.3205953854095554,1.0501339919962125,0.009696109778648751,0.0869097075597577,0.0827605888602368,584,-0.059
BD_CasesvsCN_adult,R_transversetemporal,-0.109,0.031,,,2574,1834,0.000376,0.012,4408,rh,0.1930159768564547,1.018457248647115,0.005820312107384893,0.0842881216270118,0.0827605888602368,584,-0.109
BD_CasesvsCN_adult,R_insula,-0.168,0.031,,,2567,1832,4.64e-08,3.58e-06,4399,rh,0.3167477759911346,1.0489657542528878,0.00953514727815292,0.0868130235161914,0.0827605888602368,584,-0.168
