CorticalThickness,Structure,d_icv,se_icv,low_ci_icv,up_ci_icv,n_controls,n_patients,pobs,fdr_p,population_size,hemisphere,NAVR,NAVR_II,NAVR_corrected,NAVR_corrected_II,correction,population_size_livingpark,d_icv_thresholded
ALLOTHEREPI_vs_CTL,L_frontalpole,-0.089,0.046,,,1445,999,0.051,0.0857,2444,lh,0.3407844666065796,1.0564724571328543,0.013792308310002015,0.0874342826669363,0.0827605888602368,584,-0.089
ALLOTHEREPI_vs_CTL,L_temporalpole,-0.088,0.069,,,1442,997,0.2,0.26,2439,lh,0.3656352824157033,1.0647484020871838,0.014779930292671455,0.0881192047447315,0.0827605888602368,584,-0.088
ALLOTHEREPI_vs_CTL,L_transversetemporal,-0.2,0.059,,,1444,1000,0.000662,0.00214,2444,lh,0.1956680130206627,1.018963184476973,0.007907795650169618,0.0843299931742164,0.0827605888602368,584,-0.2
ALLOTHEREPI_vs_CTL,L_insula,-0.015,0.053,,,1409,985,0.777,0.837,2394,lh,0.2981904866965747,1.0435121304308543,0.012056098701793241,0.0863616783972577,0.0827605888602368,584,-0.015
ALLOTHEREPI_vs_CTL,R_bankssts,-0.081,0.063,,,1421,983,0.201,0.26,2404,rh,0.1534593994993605,1.0117063740506451,0.00622744259249518,0.0837294152700864,0.0827605888602368,584,-0.081
ALLOTHEREPI_vs_CTL,R_caudalanteriorcingulate,0.007,0.048,,,1449,997,0.888,0.918,2446,rh,0.2345456463717201,1.0271376053051158,0.009486760571781256,0.0850065130555448,0.0827605888602368,584,
ALLOTHEREPI_vs_CTL,R_caudalmiddlefrontal,-0.212,0.045,,,1451,998,2.62e-06,2e-05,2449,rh,0.1700381669057965,1.014353477937885,0.00687900791726774,0.0839484911465685,0.0827605888602368,584,-0.212
ALLOTHEREPI_vs_CTL,R_cuneus,-0.234,0.045,,,1449,996,2.15e-07,2.58e-06,2445,rh,0.2110250670946185,1.0220232771039457,0.008540655668639697,0.0845832482419915,0.0827605888602368,584,-0.234
ALLOTHEREPI_vs_CTL,R_entorhinal,-0.197,0.058,,,1183,901,0.00073,0.00227,2084,rh,0.3352087278490374,1.054687105840481,0.013552778136623785,0.0872865259426571,0.0827605888602368,584,-0.197
ALLOTHEREPI_vs_CTL,R_fusiform,-0.086,0.062,,,1451,997,0.164,0.222,2448,rh,0.2034578796835348,1.0204876818488893,0.008479251968633845,0.084456161474432,0.0827605888602368,584,-0.086
ALLOTHEREPI_vs_CTL,R_inferiorparietal,-0.118,0.05,,,1440,989,0.018,0.0373,2429,rh,0.1402146441904612,1.0097822272378625,0.005668999063397814,0.0835701717468069,0.0827605888602368,584,-0.118
ALLOTHEREPI_vs_CTL,R_inferiortemporal,-0.035,0.049,,,1449,996,0.483,0.571,2445,rh,0.1804525516817452,1.0161511321690553,0.0072973436187107645,0.0840972660693073,0.0827605888602368,584,-0.035
ALLOTHEREPI_vs_CTL,R_isthmuscingulate,-0.016,0.055,,,1448,997,0.774,0.837,2445,rh,0.2184653938129115,1.0235854279413277,0.00883454976165381,0.0847125327651817,0.0827605888602368,584,-0.016
ALLOTHEREPI_vs_CTL,R_lateraloccipital,-0.211,0.045,,,1450,997,3.18e-06,2.15e-05,2447,rh,0.1526839267879651,1.0115890378505457,0.006176930511111829,0.0837197044570715,0.0827605888602368,584,-0.211
ALLOTHEREPI_vs_CTL,R_lateralorbitofrontal,-0.167,0.055,,,1448,996,0.00215,0.00583,2444,rh,0.2955741158849632,1.04276749948451,0.011952759150855538,0.0863000523016547,0.0827605888602368,584,-0.167
ALLOTHEREPI_vs_CTL,R_lingual,-0.18,0.045,,,1450,996,7.12e-05,0.000285,2446,rh,0.2610434941592119,1.033510380133093,0.010569342135866395,0.0855339276529819,0.0827605888602368,584,-0.18
ALLOTHEREPI_vs_CTL,R_medialorbitofrontal,-0.101,0.054,,,1433,973,0.065,0.105,2406,rh,0.2374629973130645,1.0278077033632822,0.00976792249159814,0.0850619707654328,0.0827605888602368,584,-0.101
ALLOTHEREPI_vs_CTL,R_middletemporal,-0.102,0.045,,,1440,993,0.024,0.0458,2433,rh,0.1421137530783172,1.010047681455685,0.005755197136320253,0.0835921408941893,0.0827605888602368,584,-0.102
ALLOTHEREPI_vs_CTL,R_parahippocampal,-0.076,0.045,,,1447,996,0.093,0.145,2443,rh,0.1475454646038709,1.0108262284513456,0.005966609751773832,0.0836565739020056,0.0827605888602368,584,-0.076
ALLOTHEREPI_vs_CTL,R_paracentral,-0.351,0.045,,,1451,998,1.05e-14,4.41e-13,2449,rh,0.1965077196420784,1.0191247636471843,0.00803244089500272,0.0843433655614906,0.0827605888602368,584,-0.351
ALLOTHEREPI_vs_CTL,R_parsopercularis,-0.125,0.047,,,1450,998,0.008,0.0182,2448,rh,0.1842800518819023,1.0168378127910058,0.007453648180654627,0.0841540961619388,0.0827605888602368,584,-0.125
ALLOTHEREPI_vs_CTL,R_parsorbitalis,-0.156,0.052,,,1451,996,0.00269,0.00706,2447,rh,0.2583572701375833,1.032835165470727,0.010443473665916582,0.0854780464899174,0.0827605888602368,584,-0.156
ALLOTHEREPI_vs_CTL,R_parstriangularis,-0.21,0.045,,,1449,998,3.32e-06,2.15e-05,2447,rh,0.2348309682032626,1.0272027957649268,0.009498301096807485,0.0850119082563869,0.0827605888602368,584,-0.21
ALLOTHEREPI_vs_CTL,R_pericalcarine,-0.158,0.048,,,1451,997,0.000968,0.0029,2448,rh,0.2823649468492684,1.0391005549075556,0.011416258469054927,0.0859965738091481,0.0827605888602368,584,-0.158
ALLOTHEREPI_vs_CTL,R_postcentral,-0.024,0.045,,,1447,996,0.597,0.697,2443,rh,0.1919447953904879,1.0182547836752334,0.0077620799192567765,0.0842713655067153,0.0827605888602368,584,-0.024
ALLOTHEREPI_vs_CTL,R_posteriorcingulate,-0.061,0.062,,,1451,998,0.324,0.4,2449,rh,0.229542991757253,1.0260068153111217,0.00930728427585881,0.0849129282097646,0.0827605888602368,584,-0.061
ALLOTHEREPI_vs_CTL,R_precentral,-0.348,0.045,,,1448,996,1.7e-14,4.76e-13,2444,rh,0.203213697138652,1.0204390264512426,0.008212749572502794,0.0844521347250715,0.0827605888602368,584,-0.348
ALLOTHEREPI_vs_CTL,R_precuneus,-0.238,0.053,,,1451,994,7.78e-06,4.08e-05,2445,rh,0.1368537324431657,1.0093210312302154,0.0055331145011426755,0.083532002893634,0.0827605888602368,584,-0.238
ALLOTHEREPI_vs_CTL,R_rostralanteriorcingulate,0.023,0.067,,,1450,996,0.734,0.822,2446,rh,0.2607243987946873,1.033429829319268,0.010539159170648604,0.0855272612201966,0.0827605888602368,584,0.023
ALLOTHEREPI_vs_CTL,R_rostralmiddlefrontal,-0.198,0.052,,,1451,997,0.000158,0.000531,2448,rh,0.192271968463831,1.0183165077012926,0.007770546715304316,0.0842764738234588,0.0827605888602368,584,-0.198
ALLOTHEREPI_vs_CTL,R_superiorfrontal,-0.235,0.052,,,1448,997,7.15e-06,4e-05,2445,rh,0.1426994383762407,1.0101302538350658,0.0057718206521622985,0.0835989746329305,0.0827605888602368,584,-0.235
ALLOTHEREPI_vs_CTL,R_superiorparietal,-0.22,0.045,,,1450,997,1.15e-06,9.66e-06,2447,rh,0.1081804550791144,1.0058344848239815,0.004372935714887992,0.0832434542599656,0.0827605888602368,584,-0.22
ALLOTHEREPI_vs_CTL,R_superiortemporal,-0.11,0.059,,,1354,959,0.059,0.0972,2313,rh,0.1130545562343416,1.006370375500662,0.004570893269427409,0.0832878048879324,0.0827605888602368,584,-0.11
ALLOTHEREPI_vs_CTL,R_supramarginal,-0.206,0.047,,,1395,961,9.95e-06,4.92e-05,2356,rh,0.1349963545396925,1.0090708675504445,0.005562427884579567,0.0835112992001847,0.0827605888602368,584,-0.206
ALLOTHEREPI_vs_CTL,R_frontalpole,-0.098,0.045,,,1451,997,0.03,0.0548,2448,rh,0.3308039802832321,1.0532954349902164,0.013377424104378388,0.0871713504435895,0.0827605888602368,584,-0.098
ALLOTHEREPI_vs_CTL,R_temporalpole,-0.126,0.047,,,1448,995,0.007,0.0163,2443,rh,0.3205953854095554,1.0501339919962125,0.012972555251760137,0.0869097075597577,0.0827605888602368,584,-0.126
ALLOTHEREPI_vs_CTL,R_transversetemporal,-0.18,0.045,,,1451,998,6.84e-05,0.000285,2449,rh,0.1930159768564547,1.018457248647115,0.007876563040563809,0.0842881216270118,0.0827605888602368,584,-0.18
ALLOTHEREPI_vs_CTL,R_insula,-0.069,0.046,,,1412,990,0.129,0.184,2402,rh,0.3167477759911346,1.0489657542528878,0.012809003476693748,0.0868130235161914,0.0827605888602368,584,-0.069
